scrap_email_ems.py ver 0.1.5 zf200410.1713
"URL","Nom","email"
"https://www.heviva.ch/institutions/detail/ems/5-de-coeur-cat.html","5 DE COEUR, CAT","cat.epalinges@montcalme.ch"
"https://www.heviva.ch/institutions/detail/ems/alexandra-cpse.html","ALEXANDRA CPSE","chp@cpsealexandra.ch"
"https://www.heviva.ch/institutions/detail/ems/aubepines-ems-les.html","AUBEPINES, EMS LES","caffaro.direction@sispsa.ch"
"https://www.heviva.ch/institutions/detail/ems/aubonne-cat-de-lhopital-d.html","AUBONNE, CAT Mémoire","cat.aubonne@ehc.vd.ch"
"https://www.heviva.ch/institutions/detail/ems/baumettes-cat-de-lems-les.html","BAUMETTES, CAT de l'EMS les","baumettes@baumettes.ch"
"https://www.heviva.ch/institutions/detail/ems/baumettes-cs-de-lems-les.html","BAUMETTES, CS de l'EMS les","baumettes@baumettes.ch"
"https://www.heviva.ch/institutions/detail/ems/baumettes-ems-les.html","BAUMETTES, EMS LES","baumettes@baumettes.ch"
"https://www.heviva.ch/institutions/detail/ems/baumettes-lp-de-la-fondation-les.html","BAUMETTES, LP de la Fondation les","baumettes@baumettes.ch"
"https://www.heviva.ch/institutions/detail/ems/beau-sejour-cs-de-lems.html","BEAU-SEJOUR, CS de l'EMS","fondation@fondationbeausejour.ch"
"https://www.heviva.ch/institutions/detail/ems/beau-sejour-ems.html","BEAU-SEJOUR, EMS","fondation@fondationbeausejour.ch"
"https://www.heviva.ch/institutions/detail/ems/beau-site-ems.html","BEAU-SITE, EMS","direction@ems-fbs.ch"
"https://www.heviva.ch/institutions/detail/ems/beausobre-lp-de-la-residence-de.html","BEAUSOBRE, LP de la Résidence de","info@alterimo.ch"
"https://www.heviva.ch/institutions/detail/ems/bellevue-cat-de-lems.html","BELLEVUE, CAT de l'EMS","info@bellesaison.ch"
"https://www.heviva.ch/institutions/detail/ems/berges-du-leman-ems-les.html","BERGES DU LEMAN, EMS LES","admin@fcm63.ch"
"https://www.heviva.ch/institutions/detail/ems/bethanie-cs-de-linstitution.html","BETHANIE, CS de l'institution","info@bethanie.ch"
"https://www.heviva.ch/institutions/detail/ems/bethanie-institution-de.html","BETHANIE, INSTITUTION DE","info@bethanie.ch"
"https://www.heviva.ch/institutions/detail/ems/bethanie-lp-de-la-residence-de.html","BETHANIE, LP de la Résidence de","f.risse@bethanie.ch"
"https://www.heviva.ch/institutions/detail/ems/bethel-cs.html","BETHEL, CS","info@maison-bethel.ch"
"https://www.heviva.ch/institutions/detail/ems/bois-gentil-site-du-petit-flon-ems.html","BOIS GENTIL, SITE DU PETIT FLON, EMS","info@fbg.ch"
"https://www.heviva.ch/institutions/detail/ems/bois-gentil-site-de-sauvabelin-ems.html","BOIS-GENTIL, SITE DE SAUVABELIN, EMS","info@fbg.ch"
"https://www.heviva.ch/institutions/detail/ems/borde-foyer-de-la.html","BORDE, FOYER DE LA","caffaro.direction@sispsa.ch"
"https://www.heviva.ch/institutions/detail/ems/burier-maison-de-retraite.html","BURIER, MAISON DE RETRAITE","info@emsburier.ch"
"https://www.heviva.ch/institutions/detail/ems/menthue-cat-la.html","CAT LA MENTHUE","lamenthue@fondation-saphir.ch"
"https://www.heviva.ch/institutions/detail/ems/verger-cat-le.html","CAT LE VERGER","leverger@fondation-saphir.ch"
"https://www.heviva.ch/institutions/detail/ems/sources-cat-les.html","CAT LES SOURCES","lessources@fondation-saphir.ch"
"https://www.heviva.ch/institutions/detail/ems/manureva-cat.html","CAT MANUREVA","manureva@fondation-saphir.ch"
"https://www.heviva.ch/institutions/detail/ems/turquoise-cat.html","CAT TURQUOISE","turquoise@fondation-saphir.ch"
"https://www.heviva.ch/institutions/detail/ems/cerisiers-ems-les.html","CERISIERS, EMS LES","jeanluc.sapin@hibroye.ch"
"https://www.heviva.ch/institutions/detail/ems/champ-fleuri-epsm.html","CHAMP-FLEURI, EPSM","secretariat@champ-fleur.ch"
"https://www.heviva.ch/institutions/detail/ems/champ-fleuri-lp-de-lems.html","CHAMP-FLEURI, EPSM","secretariat@champ-fleuri.ch"
"https://www.heviva.ch/institutions/detail/ems/chanella-epsm.html","CHANELLA, EPSM","info@cogestems.ch"
"https://www.heviva.ch/institutions/detail/ems/chateau-de-corcelles-ems-le.html","CHATEAU DE CORCELLES, EMS LE","direction@chateaucorcelles.ch"
"https://www.heviva.ch/institutions/detail/ems/chateau-de-fechy-cs.html","CHATEAU DE FECHY, CS","info@fondationsilo.ch"
"https://www.heviva.ch/institutions/detail/ems/chateau-de-fechy-hnm.html","CHATEAU DE FECHY, HNM","info@fondationsilo.ch"
"https://www.heviva.ch/institutions/detail/ems/chateau-des-novalles-ems.html","CHATEAU DES NOVALLES, EMS","info@chateaunovalles.ch"
"https://www.heviva.ch/institutions/detail/ems/chateaux-les-site-dechallens.html","CHATEAUX LES, SITE D'ECHALLENS","info@leschateaux.org"
"https://www.heviva.ch/institutions/detail/ems/chateaux-les-site-de-goumoens-la-ville.html","CHATEAUX LES, SITE DE GOUMOENS LA VILLE","info@leschateaux.org"
"https://www.heviva.ch/institutions/detail/ems/chocolatiere-cs.html","CHOCOLATIERE, CS","sandrine.heuls@altage.ch"
