scrap_email_ems.py ver 0.1.4 zf200408.1650
"5 DE COEUR, CAT","cat.epalinges@montcalme.ch"
"ALEXANDRA CPSE","chp@cpsealexandra.ch"
"AUBEPINES, EMS LES","caffaro.direction@sispsa.ch"
"AUBONNE, CAT Mémoire","cat.aubonne@ehc.vd.ch"
"BAUMETTES, CAT de l'EMS les","baumettes@baumettes.ch"
"BAUMETTES, CS de l'EMS les","baumettes@baumettes.ch"
"BAUMETTES, EMS LES","baumettes@baumettes.ch"
"BAUMETTES, LP de la Fondation les","baumettes@baumettes.ch"
"BEAU-SEJOUR, CS de l'EMS","fondation@fondationbeausejour.ch"
"BEAU-SEJOUR, EMS","fondation@fondationbeausejour.ch"
"BEAU-SITE, EMS","direction@ems-fbs.ch"
"BEAUSOBRE, LP de la Résidence de","info@alterimo.ch"
"BELLEVUE, CAT de l'EMS","info@bellesaison.ch"
"BERGES DU LEMAN, EMS LES","admin@fcm63.ch"
"BETHANIE, CS de l'institution","info@bethanie.ch"
"BETHANIE, INSTITUTION DE","info@bethanie.ch"
"BETHANIE, LP de la Résidence de","f.risse@bethanie.ch"
"BETHEL, CS","info@maison-bethel.ch"
"BOIS GENTIL, SITE DU PETIT FLON, EMS","info@fbg.ch"
"BOIS-GENTIL, SITE DE SAUVABELIN, EMS","info@fbg.ch"
"BORDE, FOYER DE LA","caffaro.direction@sispsa.ch"
"BURIER, MAISON DE RETRAITE","info@emsburier.ch"
"CAT LA MENTHUE","lamenthue@fondation-saphir.ch"
"CAT LE VERGER","leverger@fondation-saphir.ch"
"CAT LES SOURCES","lessources@fondation-saphir.ch"
"CAT MANUREVA","manureva@fondation-saphir.ch"
"CAT TURQUOISE","turquoise@fondation-saphir.ch"
"CERISIERS, EMS LES","jeanluc.sapin@hibroye.ch"
"CHAMP-FLEURI, EPSM","secretariat@champ-fleur.ch"
"CHAMP-FLEURI, EPSM","secretariat@champ-fleuri.ch"
"CHANELLA, EPSM","info@cogestems.ch"
"CHATEAU DE CORCELLES, EMS LE","direction@chateaucorcelles.ch"
"CHATEAU DE FECHY, CS","info@fondationsilo.ch"
"CHATEAU DE FECHY, HNM","info@fondationsilo.ch"
"CHATEAU DES NOVALLES, EMS","info@chateaunovalles.ch"
"CHATEAUX LES, SITE D'ECHALLENS","info@leschateaux.org"
"CHATEAUX LES, SITE DE GOUMOENS LA VILLE","info@leschateaux.org"
"CHOCOLATIERE, CS","sandrine.heuls@altage.ch"
"CHOCOLATIERE, EMS La","sandrine.heuls@altage.ch"
"CITE DE LA BORDE, LP La","ems@fdorme.ch"
"CITE, LP de la Résidence La","fondation@fondationbeausejour.ch"
"CLAIR VULLY, CAT de l'EMS","info@clairvully.ch"
"CLAIR VULLY, CS de l'EMS","info@clairvully.ch"
"CLAIR VULLY, EMS","info@clairvully.ch"
"CLAIR-SOLEIL, EMS","ems.clairsoleil@fa2.ch"
"CLAIRIERE, CAT de la Fondation la","respcat@laclairiere.ch"
"CLAIRIERE, CS de la Fondation la","info@laclairiere.ch"
"CLAIRIERE, FONDATION LA","info@laclairiere.ch"
"CLAIRIERE, LP de la Fondation La","info@laclairiere.ch"
"CLE DES CHAMPS, CS de l'EMS","info@bellesaison.ch"
"CLEF DES CHAMPS, CAT de l'EMS","info@bellesaison.ch"
"CLEF DES CHAMPS, EMS","info@bellesaison.ch"
"CLEMENCE, CAT de la Fondation la","cat@fondation-clemence.ch"
"CLEMENCE, CS de la Fondation","fondation-clemence@fondation-clemence.ch"
"CLEMENCE, FONDATION","clemence@fondation-clemence.ch"
"CLEMENCE, LP de la Fondation","fondation-clemence@fondation-clemence.ch"
"CLOS DES TZAMS, HNM","info@cogestems.ch"
"COLLINE, CAT de l'EMS La","info@emslacolline.org"
"COLLINE, EMS LA","info@emslacolline.org"
"COLOCATION RUBIS","rubis@fondation-saphir.ch"
"COLOCATION TOPAZE","topaze@fondation-saphir.ch"
"COLOMBES, EMS LES","caffaro.direction@sispsa.ch"
"COLOMBIERE, EPSM LA","epsmcolombiere@fondation-saphir.ch"
"COMMANDANT BAUD, CAT de l'EMS","info@fondationbaud.ch"
"COMMANDANT BAUD, EMS","info@fondationbaud.ch"
"CONTESSE, EMS","emscontesse@fondation-saphir.ch"
"COTEAU-MURAZ, CAT de l'EMS","cat@ems-fbs.ch"
"COTEAU-MURAZ, EMS","direction@ems-fbs.ch"
"COTTIER BOYS, CS de l'EMS","info@cottier-boys.ch"
"COTTIER BOYS, EMS","c.perrenoud@cottier-boys.ch"
"DILIGENCE, CAT DE L'EMS","admin@la-diligence.ch"
"DONATELLA MAURI, CAT de la Fondation","animation@donatellamauri.ch"
"DONATELLA MAURI, FONDATION","administration@donatellamauri.ch"
"EIKENOTT, LP d'","greffe.municipal@gland.ch"
"EMS LA DOUVAZ","emsdouvaz@fondation-saphir.ch"
"ESCAPADE L', EMS","sandrine.heuls@altage.ch"
"ETOILE DU MATIN, EMS","admin@fcm63.ch"
"FAVERGE, CAT de l'EMS La","secretariat-reception@emsfaverge.ch"
"FAVERGE, CS de l'EMS la","secretariat-reception@emsfaverge.ch"
"FAVERGE, EMS LA","secretariat-reception@emsfaverge.ch"
"FAVERGE, LP","secretariat-reception@emsfaverge.ch"
"FLON, EMS LE","leflon.info@fondationdurelais.ch"
"FONDATION PRIMEROCHE, CAT DE LA HALTE-RELAIS","info@primeroche.ch"
"FONDATION PRIMEROCHE, CAT LE GRAND PRE","info@primeroche.ch"
"FONDATION PRIMEROCHE, CAT LE VALENTIN","info@primeroche.ch"
"FONDATION PRIMEROCHE, CS DE LA HALTE-RELAIS","info@primeroche.ch"
"FONDATION PRIMEROCHE, EMS LE GRAND PRE","info@primeroche.ch"
"FONDATION PRIMEROCHE, EMS LES LYS","info@primeroche.ch"
"FONDATION PRIMEROCHE, LOGEMENTS SUPERVISES DE RENENS","info@primeroche.ch"
"FONDATION PRIMEROCHE, LP DE PRILLY","info@primeroche.ch"
"FONDATION PRIMEROCHE, LP LE GRAND PRE","info@primeroche.ch"
"FOUGERES, LP de la Résidence Les","info@fondationsilo.ch"
"GAMBETTA, CS de l'EMS","info@emsgambetta.ch"
"GAMBETTA, EMS","direction@emsgambetta.ch"
"GAMBETTA, LP de l'EMS","direction@emsgambetta.ch"
"GIRARDE, CAT de la Résidence La","elisabeth.lenoir@fondationdurelais.ch"
"GIRARDE, RESIDENCE LA","girarde.info@fondationdurelais.ch"
"HAUTE COMBE, CS de l'EMS","pre-pariset@pre-pariset.ch"
"HAUTE COMBE, EMS",""
"HIRONDELLES, EMS LES","admin@fcm63.ch"
"HOME - LES PINS SA, SITE LE HOME","info@lehome-lespins.ch"
"HOME - LES PINS SA, SITE LES PINS","info@lehome-lespins.ch"
"HOME SALEM","home.salem@eben-hezer.ch"
"HOME SALEM, CAT intramuros du","cat.salem@eben-hezer.ch"
"HOPITAL D'AUBONNE, DIVISION LITS C","aubadmin@ehc.vd.ch"
"INTERMEDE, CAT de la Fondation de l'Orme","ems@fdorme.ch"
"JAQUES ET CHARLES DUC, EPSM","christine.semadeni@epsmduc.ch"
"JARDINS DE LA PLAINE, CAT de l'EMS les","fabrizio.dallolio@altage.ch"
"JARDINS DE LA PLAINE, EMS LES","michele.gavillet@altage.ch"
"JARDINS DE LA PLAINE, LP de l'EMS les","stella.follonier@altage.ch"
"JARDINS DU LEMAN, EMS LES","emslesjardinsduleman@ghol.ch"
"JOLI BOIS, EMS","jbinfo@fondationlaprimerose.ch"
"JURA, EMS DU","emsdujura@fondation-saphir.ch"
"KANUMERA, CAT","kainfo@fondationlaprimerose.ch"
"L'ENTRACTE, CAT","eninfo@fondationlaprimerose.ch"
"LA ROCHELLE ","kiny.mottier@altage.ch"
"LE CHÊNE, EMS","info@bellesaison.ch"
"LEMAN, LP de la Résidence","contact@residence-du-leman.ch"
"LEMAN, RESIDENCE DU","contact@residence-du-leman.ch"
"LEMBAZ, EMS La","info@emslalembaz.ch"
"LES APPARTS","lesapparts@fondation-saphir.ch"
"LOUIS BOISSONNET, EMS","boissonnet@boissonnet.ch"
"MAILLEFER, CAT de la Fondation Bois-Gentil","referent_CAT@fbg.ch"
"MAILLEFER, LP de la Fondation Bois-Gentil","ac.bonard@fbg.ch"
"MAILLON, CS de l'EMS le","direction@ems-fbs.ch"
"MAILLON, EMS LE","direction@ems-fbs.ch"
"Maison Béthel","info@maison-bethel.ch"
"MAISON D'ORPHEE","direction@lamaisondorphee.ch"
"MAISON DU PELERIN","info@ems-pelerin.ch"
"MARC AURELE, FONDATION","secretariat@marcaurele.ch"
"MARC-AURELE, CAT de l'EMS","secretariat@marcaurele.ch"
"MARC-AURELE, CS de l'EMS","secretariat@marcaurele.ch"
"MARRONNIER, CAT de l'EMS Le","cat@ems-lemarronnier.ch"
"MARRONNIER, EMS LE","info@ems-lemarronnier.ch"
"MAURICE BUGNON, CS de l'EMS","emsmauricebugnon@fondation-saphir.ch"
"MAURICE BUGNON, EMS","emsmauricebugnon@fondation-saphir.ch"
"MEILLERIE, EMS LA","info@meillerie.ch"
"MERIDIENNE, CAT la","meinfo@fondationlaprimerose.ch"
"MERIDIENNE, EMS LA","meinfo@fondationlaprimerose.ch"
"MIDI, FOYER DU","caffaro.direction@sispsa.ch"
"MONT CALME, FONDATION","mont-calme@montcalme.ch"
"MONT RIANT, EMS","emsmontriant@fondation-saphir.ch"
"MONTBRILLANT, EMS","direction@ems-fbs.ch"
"MOULINS, CAT des","ajpsyger@eben-hezer.ch"
"MYOSOTIS, EPSM LES","myosotis@sefanet.ch"
"NELTY DE BEAUSOBRE, EMS","emsnb@ehc.vd.ch"
"NOUMEA, CAT","cat.echallens@leschateaux.org"
"OASIS, EMS L'","oasis@ems-oasis.ch"
"ODMER, EPSM","admin@fcm63.ch"
"OISEAUX, EPSM LES","oiseaux@sispsa.ch"
"ORIEL, FONDATION","info@oriel.ch"
"ORME, FONDATION","ems@fondationdelorme.ch"
"OURS, CAT de l'EMS de L'","claudine.siffert@cogestems.ch"
"OURS, EMS L'","info@cogestems.ch"
"PAIX DU SOIR, CAT de l'EMS La","claudia.rossetti@paixdusoir.ch"
"PAIX DU SOIR, EMS LA","info@paixdusoir.ch"
"PALMIERS, CAT de l'EMS Le","cat.palmiers@montcalme.ch"
"PANORAMA, CAT du Centre du","panorama@fondationbeausejour.ch"
"PARC DE BEAUSOBRE, CAT de l'EMS Le",""
"PARC DE BEAUSOBRE, EMS","emspb@ehc.vd.ch"
"PARC DE VALENCY, EMS","sandrine.heuls@altage.ch"
"PARC DE VALENCY, LP de la Résidence","marianne.piguet@altage.ch"
"PERGOLAS, EMS LES","admin@fcm63.ch"
"PHARE ELIM, EMS","ems@phare-elim.ch"
"PLEIN SUD, LP","info@residence-plein-sud.ch"
"POMMERAIE, EPSM LA","info@cogestems.ch"
"PRAZ JORET, RESIDENCE","admin@praz-joret.ch"
"PRAZ SECHAUD I","sandrine.heuls@altage.ch"
"PRAZ SECHAUD II","claude.paponnet@altage.ch"
"PRE DE LA COURONNE, LP des","secretariat-reception@emsfaverge.ch"
"PRE DE LA TOUR, CAT de l'EMS","dsuter@pre-pariset.ch"
"PRE DE LA TOUR, EMS","cmeierhans@pre-pariset.ch"
"PRE FLEURI, RESIDENCE","info@pre-fleuri.ch"
"PRE PARISET, EMS",""
"PRE-CARRE, EPSM LE","epsmprecarre@fondation-saphir.ch"
"PRERISA, FONDATION","info@prerisa.ch"
"QUATRE MARRONNIERS, CAT de l'EMS Les","cat@4marronniers.ch"
"QUATRE MARRONNIERS, CS de l'EMS Les","s.flückiger@ems4marronniers.ch"
"QUATRE MARRONNIERS, EMS LES","info@4marronniers.ch"
"QUATRE SAISONS, EMS LES","info@bellesaison.ch"
"RECORDON, EMS","ems.recordon@fa2.ch"
"REPERE, CAT Le","info@bellesaison.ch"
"Résidence AGATE","residenceagate@fondation-saphir.ch"
"RESIDENCE AIGLE","aigle@ems-chablais.ch"
"RESIDENCE AIGLE, CAT de la","aigcat@ems-chablais.ch"
"RESIDENCE AIGLE, CS de la","aigadministration@ems-chablais.ch"
"RESIDENCE DIABLERETS","diablerets@ems-chablais.ch"
"RESIDENCE DIABLERETS, CAT de la","diaadministration@ems-chablais.ch"
"RESIDENCE DIABLERETS, CS de la","diasecretariat@ems-chablais.ch"
"RESIDENCE GRANDE FONTAINE","bex@ems-chablais.ch"
"RESIDENCE GRANDE FONTAINE, CAT de la","referentecat@ems-chablais.ch"
"ROSIERS, CS de l'EMS Les","directionsoins@lesrosiers.ch"
"ROSIERS, EMS LES","info@lesrosiers.ch"
"ROTILLON, EPSM LE","info@lerotillon.ch"
"ROULOTTE, CAT","admin@la-diligence.ch"
"ROZAVERE, FONDATION LA","info@rozavere.ch"
"RUISSEAU, CAT de Prérisa","cat@prerisa.ch"
"SANS SOUCI, EPSM","claude.paponnet@altage.ch"
"SIGNAL, ASSOCIATION LE","secretariat@ems-lesignal.ch"
"SILO, FONDATION","info@fondationsilo.ch"
"SOERENSEN-LA ROSIERE, EMS - SITE DE LA ROSIERE","ems.soerensen-larosiere@chuv.ch"
"SOERENSEN-LA ROSIERE, EMS - SITE DE SOERENSEN","ems.soerensen-larosiere@chuv.ch"
"SOLEIL, RESIDENCE LE","admin@fcm63.ch"
"SYLVABELLE, EPSM","kiny.mottier@altage.ch"
"TERRASSE, EMS LA","info@ems-laterrasse.ch"
"TERRASSE, LP de l'EMS la","info@ems-laterrasse.ch"
"TILLEULS, EPSM LES","claude.paponnet@altage.ch"
"UATP LE QUAI","uatplequai@fondation-saphir.ch"
"VEILLEE, EMS LA","info@la-veillee.ch"
"VENOGE LA, SITE DE LA SARRAZ","info@fondation-lavenoge.ch"
"VENOGE LA, SITE DE PENTHALAZ, EMS","info@fondation-lavenoge.ch"
"VENOGE PENTHALAZ, CAT de la","info@fondation-lavenoge.ch"
"VENOGE PENTHALAZ, LP de l'EMS la",""
"VERGERS DE LA LONGERAIE, LP Les","astrid.grangier@paixdusoir.ch"
"VERNEY, CAT le","info@bellesaison.ch"
"VERNIE, EMS LA","veinfo@fondationlaprimerose.ch"
